,Overall Keywords,Overall MZ Keywords,Prepandemic Keywords,Prepandemic MZ Keywords,Covid Keywords,Covid MZ Keywords
0,provider,tbehavioral,provide,cullum,provider,marriage
1,provide,latinx,provider,weiner,provide,blue
2,providers,binformation,providence,grosch,providers,videoconferencingp
3,providence,farmer,providers,hynan,clinically,latino
4,health,telesupervision,health,postbaseline,clinical,medalia
5,clinically,mbc,include,style,clinic,umbrella
6,clinical,tow,included,pcit,clinics,argument
7,clinic,respiratory,treatment,rotation,use,asian
8,clinics,v,service,face,usefulness,bronchitis
9,use,lower,services,affairsmc,useful,dreyfus
