,,0
Rouge 1 Cluster 0,f,0.4862243420210064
Rouge 1 Cluster 0,p,0.3565244279529994
Rouge 1 Cluster 0,r,0.7642509942554132
Rouge 2 Cluster 0,f,0.16968929694124865
Rouge 2 Cluster 0,p,0.12442016286980724
Rouge 2 Cluster 0,r,0.2667403314917127
Rouge l Cluster 0,f,0.37779894733657743
Rouge l Cluster 0,p,0.29026354319180087
Rouge l Cluster 0,r,0.5409276944065484
Rouge 1 Cluster 1,f,0.33592261110789656
Rouge 1 Cluster 1,p,0.21907857006308545
Rouge 1 Cluster 1,r,0.7198492462311558
Rouge 2 Cluster 1,f,0.10907491212461867
Rouge 2 Cluster 1,p,0.07112810707456979
Rouge 2 Cluster 1,r,0.2338152105593966
Rouge l Cluster 1,f,0.2694560630009139
Rouge l Cluster 1,p,0.18463302752293578
Rouge l Cluster 1,r,0.4984520123839009
Rouge 1 Cluster 2,f,0.5134625694453173
Rouge 1 Cluster 2,p,0.40012589173310953
Rouge 1 Cluster 2,r,0.7163786626596544
Rouge 2 Cluster 2,f,0.19849178101947484
Rouge 2 Cluster 2,p,0.1546694648478489
Rouge 2 Cluster 2,r,0.2769635475385194
Rouge l Cluster 2,f,0.3668088359371192
Rouge l Cluster 2,p,0.2945205479452055
Rouge l Cluster 2,r,0.48612538540596095
